"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Policy is not accepted due to missing context ""Precedence""","","Mon Apr 27 05:47:05 UTC 2026","passed","Mon Apr 27 05:47:05 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","64","Policy is accepted ""Jurisdiction Location Reference""","","Mon Apr 27 05:47:02 UTC 2026","passed","Mon Apr 27 05:47:02 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","31342","shouldTerminateTransfer_whenDataUsageEndDatePolicyExpires()","","Mon Apr 27 05:47:56 UTC 2026","passed","Mon Apr 27 05:48:28 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","shouldTerminateTransfer_whenDataUsageEndDatePolicyExpires"
"","62","Policy is accepted ""Data Usage End Duration Days""","","Mon Apr 27 05:47:02 UTC 2026","passed","Mon Apr 27 05:47:02 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","66","Policy is accepted ""Data Frequency""","","Mon Apr 27 05:47:02 UTC 2026","passed","Mon Apr 27 05:47:02 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","92","refreshEdr_whenNotFound()","","Mon Apr 27 05:46:50 UTC 2026","passed","Mon Apr 27 05:46:50 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotFound"
"","36","Policy is not accepted due to missing context ""Exclusive Usage""","","Mon Apr 27 05:47:05 UTC 2026","passed","Mon Apr 27 05:47:05 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","62","5.4.3.6 Verifier should reject a credential that is not yet valid","","Mon Apr 27 05:48:43 UTC 2026","passed","Mon Apr 27 05:48:43 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_06_presentationResponse_notYetValidCredential"
"","49","5.4.2.4 Verifier should reject an a presentation where a requested credential is missing","","Mon Apr 27 05:48:43 UTC 2026","passed","Mon Apr 27 05:48:43 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_04_presentationResponse_emptyCredentials"
"","15397","transferData_withTerminate()","","Mon Apr 27 05:49:24 UTC 2026","passed","Mon Apr 27 05:49:39 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_withTerminate"
